sample_idx,true_l3,true_w4,rank,l3,w4,curve_mae_dB,freq_err_MHz,depth_err_dB
2,9.0,1.5,7,12.95036506652832,1.722233533859253,2.164994478225708,1974.3589999999997,7.559770584106445
2,9.0,1.5,8,9.926952362060547,0.9813233017921448,2.228419542312622,897.4359999999999,1.4745006561279297
2,9.0,1.5,9,12.777719497680664,1.3464829921722412,2.251899242401123,0.0,3.035144805908203
2,9.0,1.5,10,13.860359191894531,1.9609384536743164,2.5374019145965576,1076.9229999999998,8.017532348632812
3,9.0,2.0,1,9.275108337402344,2.2403697967529297,0.8441352844238281,0.0,0.8939895629882812
3,9.0,2.0,2,9.464669227600098,1.9363402128219604,1.0629018545150757,1794.8719999999998,0.2059001922607422
3,9.0,2.0,3,10.454599380493164,2.7169132232666016,1.4609954357147217,0.0,1.2734241485595703
3,9.0,2.0,4,11.329833030700684,2.38769793510437,1.49946928024292,5025.6410000000005,0.43384742736816406
3,9.0,2.0,5,11.170792579650879,2.7130703926086426,1.5299301147460938,0.0,0.13371849060058594
3,9.0,2.0,6,11.854026794433594,2.375211477279663,1.7163982391357422,5025.6410000000005,0.45209693908691406
3,9.0,2.0,7,11.601466178894043,2.8099441528320312,1.9111559391021729,0.0,2.7079296112060547
3,9.0,2.0,8,9.707940101623535,2.8524744510650635,1.988760232925415,0.0,0.3770160675048828
3,9.0,2.0,9,13.160544395446777,2.2593765258789062,2.0712311267852783,5025.6410000000005,1.3501129150390625
3,9.0,2.0,10,9.16467571258545,1.5141301155090332,2.140930652618408,1794.8719999999998,3.498689651489258
4,9.0,2.5,1,10.454599380493164,2.7169132232666016,1.2439424991607666,0.0,12.593914031982422
4,9.0,2.5,2,9.044177055358887,2.292325735092163,1.2720091342926025,0.0,11.922271728515625
4,9.0,2.5,3,9.371603012084961,2.2876155376434326,1.3336001634597778,0.0,12.592048645019531
4,9.0,2.5,4,9.707940101623535,2.8524744510650635,1.571268081665039,0.0,13.49032211303711
4,9.0,2.5,5,11.170792579650879,2.7130703926086426,1.5990958213806152,0.0,14.001056671142578
4,9.0,2.5,6,11.493688583374023,2.6334750652313232,1.8254144191741943,0.0,14.28738021850586
4,9.0,2.5,7,9.464669227600098,1.9363402128219604,2.222297191619873,1794.8719999999998,13.66143798828125
4,9.0,2.5,8,11.602643013000488,3.048757314682007,2.338630199432373,5025.6410000000005,19.790475845336914
4,9.0,2.5,9,11.854026794433594,2.375211477279663,2.3462817668914795,5025.6410000000005,13.415241241455078
4,9.0,2.5,10,10.567862510681152,3.1656687259674072,2.3467962741851807,0.0,19.047687530517578
5,9.0,3.0,1,9.863131523132324,3.2295644283294678,1.2429206371307373,3051.282,3.6063899993896484
5,9.0,3.0,2,9.707940101623535,2.8524744510650635,1.3804981708526611,1076.9229999999998,0.24590492248535156
5,9.0,3.0,3,10.567862510681152,3.1656687259674072,1.536909818649292,1076.9229999999998,5.311460494995117
5,9.0,3.0,4,9.508466720581055,3.570687770843506,1.837693214416504,3051.282,1.1236095428466797
5,9.0,3.0,5,9.203352928161621,3.604802370071411,1.9037574529647827,3051.282,0.5881900787353516
5,9.0,3.0,6,10.467236518859863,3.550112009048462,1.9195101261138916,3051.282,5.954372406005859
5,9.0,3.0,7,10.115950584411621,3.636319637298584,2.0130422115325928,3051.282,4.328947067260742
5,9.0,3.0,8,11.433938026428223,3.312852382659912,2.0840823650360107,1076.9229999999998,9.130558013916016
5,9.0,3.0,9,11.602643013000488,3.048757314682007,2.0889923572540283,3948.7180000000003,6.054248809814453
5,9.0,3.0,10,10.454599380493164,2.7169132232666016,2.1776750087738037,1076.9229999999998,1.142313003540039
6,9.0,3.5,1,9.508466720581055,3.570687770843506,0.6294553875923157,0.0,8.17253303527832
6,9.0,3.5,2,9.203352928161621,3.604802370071411,0.6762955188751221,0.0,6.460733413696289
6,9.0,3.5,3,10.115950584411621,3.636319637298584,0.7848528623580933,0.0,11.377870559692383
6,9.0,3.5,4,10.467236518859863,3.550112009048462,0.9437332153320312,0.0,13.0032958984375
6,9.0,3.5,5,10.698713302612305,3.3284213542938232,1.174626111984253,0.0,14.31370735168457
6,9.0,3.5,6,9.863131523132324,3.2295644283294678,1.2856664657592773,0.0,10.655313491821289
6,9.0,3.5,7,11.433938026428223,3.312852382659912,1.4279568195343018,4128.204999999999,16.179481506347656
6,9.0,3.5,8,11.647184371948242,3.7364275455474854,1.5779659748077393,0.0,17.23294448852539
6,9.0,3.5,9,12.420328140258789,3.639885902404785,1.7807152271270752,897.4360000000004,18.162858963012695
6,9.0,3.5,10,11.602643013000488,3.048757314682007,1.8916593790054321,897.4360000000004,13.103172302246094
7,9.0,4.0,1,9.976305961608887,3.868565559387207,0.5455440878868103,0.0,0.3257102966308594
7,9.0,4.0,2,10.248148918151855,3.676482677459717,0.6647823452949524,0.0,1.39935302734375
7,9.0,4.0,3,9.508466720581055,3.570687770843506,0.760367751121521,0.0,2.453184127807617
7,9.0,4.0,4,9.203352928161621,3.604802370071411,0.7934519052505493,0.0,4.164983749389648
7,9.0,4.0,5,11.647184371948242,3.7364275455474854,1.1839555501937866,0.0,6.607227325439453
