data_index,excel_row,split,curve_mae_db,curve_rmse_db,geometry_mean_abs_error,frequency_error_mhz,depth_error_db,true_resonance_ghz,pred_resonance_ghz,true_depth_db,pred_depth_db,true_sx,pred_sx,error_sx,true_sy,pred_sy,error_sy,true_sl,pred_sl,error_sl,true_sw,pred_sw,error_sw
235,237,train,0.041751931415104526,0.09607219413799883,1.000016,0.5999000000000976,0.6462635102768317,2.4266,2.4260001,-25.51739,-24.87112578720852,9.0,9.654957,0.6549568,7.0,4.764992,2.2350078,4.0,3.0843048,0.9156952,2.5,2.694404,0.19440389
21,23,train,0.2180220109884351,0.4920863649885063,2.9410586,0.5999000000000976,3.4750948638027097,2.4158001,2.4164,-29.745129,-26.270033767789087,11.0,6.657179,4.342821,2.5,4.891198,2.3911982,4.0,2.5499582,1.4500418,8.0,4.4198265,3.5801735
117,119,train,2.1276444115396074,4.966558070571028,3.438456,46.799899999999894,2.8936810229120873,2.3540001,2.4008,-28.195347,-31.089027855187478,3.0,6.5339165,3.5339165,8.5,2.7733095,5.7266903,2.0,4.3218956,2.3218956,8.5,6.3286777,2.1713223
203,205,validation,0.04426751882773679,0.1041727581239739,1.6557169,0.5999000000000976,0.3541725314920008,2.4266,2.4260001,-25.225399,-24.871226485841984,9.0,9.647386,0.6473856,9.0,4.721262,4.278738,4.6,3.1481724,1.4518275,2.5,2.7449162,0.2449162
230,232,validation,0.26018706424521554,0.723892805156651,0.9076003,0.5997999999998171,2.122133894321763,2.4103999,2.4098001,-33.28437,-31.162236528041518,7.0,5.919637,1.0803628,3.0,3.8590143,0.8590143,2.2,3.3346858,1.1346858,5.5,4.9436617,0.5563383
17,19,validation,2.1163250608374184,5.0335177832926705,2.9922886,29.999999999999805,22.302893643270497,2.4056001,2.3756001,-48.488567,-26.185673709024424,1.5,7.008518,5.508518,2.0,4.2275543,2.2275543,4.4,4.498204,0.098204136,4.0,8.134877,4.134877
