data_index,excel_row,split,mae_db,rmse_db,true_min_db,pred_min_db,depth_error_db,true_min_freq_ghz,pred_min_freq_ghz,freq_error_mhz
235,237,train,0.03848892068426952,0.10999661972872035,-25.51739,-24.78154267387221,0.7358473261277894,2.4266,2.4260001,0.5999000000000976
287,289,train,0.2050150385982026,0.4536317218063213,-24.569845,-22.77723008321012,1.79261491678988,2.4266,2.4247999,1.8001000000000822
189,191,train,0.7394669859003623,1.4318461476702473,-10.399568,-8.463553507488255,1.9360144925117453,2.2567999,2.3564,99.60009999999997
72,74,validation,0.07004697334517117,0.15913976641433009,-26.495894,-25.22021937939119,1.275674620608811,2.4242001,2.4236,0.6001000000002144
230,232,validation,0.3373410881977976,0.9744101609521943,-33.284369,-29.42993835649547,3.8544306435045286,2.4103999,2.4092,1.1999000000000315
76,78,validation,1.9045246208862419,3.5719162233607755,-20.982146,-12.748323001997639,8.233822998002362,2.3510001,2.3678,16.79990000000009
