split,sample_count,curve_mae_mean_db,curve_mae_median_db,curve_mae_90pct_db,curve_mae_max_db,frequency_error_mean_mhz,depth_error_mean_db,geometry_error_mean
train,209,0.3819142576266453,0.2180220109884351,0.7375618080716418,2.1276444115396074,4.43539330143542,2.8854877291244123,1.5803871
validation,90,0.4477795433417404,0.2560308019084244,1.337128161894058,2.1163250608374184,5.179994444444436,4.327221813090359,1.6999695
