sample_idx,rank,true_l3,true_w4,true_h,l3,w4,h,curve_mae_dB,freq_err_MHz,depth_err_dB
10,1,9.0,1.0,0.699999988079071,9.464669227600098,0.8551504015922546,0.7724412083625793,0.45606154203414917,0.0,2.490799903869629
10,2,9.0,1.0,0.699999988079071,11.337157249450684,0.8278616666793823,0.5638442635536194,0.5292209386825562,0.0,3.0530834197998047
10,3,9.0,1.0,0.699999988079071,10.100167274475098,1.4864916801452637,0.6807711124420166,0.580186665058136,0.0,4.669370651245117
10,4,9.0,1.0,0.699999988079071,10.289770126342773,0.7745973467826843,0.7927701473236084,0.6451959609985352,0.0,3.7454757690429688
10,5,9.0,1.0,0.699999988079071,12.521220207214355,1.119887351989746,0.5569441318511963,0.664222776889801,0.0,2.6476478576660156
10,6,9.0,1.0,0.699999988079071,12.977988243103027,1.1062065362930298,0.6600499749183655,0.7065402269363403,0.0,3.14947509765625
10,7,9.0,1.0,0.699999988079071,9.596405029296875,1.7582190036773682,0.6565170884132385,0.7223415374755859,51.28192901611328,1.3511180877685547
10,8,9.0,1.0,0.699999988079071,10.467236518859863,1.3303718566894531,0.8139119148254395,0.7234724760055542,0.0,2.7986831665039062
10,9,9.0,1.0,0.699999988079071,11.433938026428223,1.6388989686965942,0.7052475810050964,0.7654603719711304,0.0,4.826385498046875
10,10,9.0,1.0,0.699999988079071,13.314738273620605,1.3758502006530762,0.6052918434143066,0.7659358978271484,0.0,1.907358169555664
83,1,10.0,1.5,0.800000011920929,10.467236518859863,1.3303718566894531,0.8139119148254395,0.5646249651908875,0.0,15.001266479492188
83,2,10.0,1.5,0.800000011920929,11.433938026428223,1.6388989686965942,0.7052475810050964,0.6615330576896667,0.0,12.973564147949219
83,3,10.0,1.5,0.800000011920929,10.100167274475098,1.4864916801452637,0.6807711124420166,0.7040074467658997,0.0,13.130578994750977
83,4,10.0,1.5,0.800000011920929,9.615839004516602,1.4479129314422607,1.0080037117004395,0.7808932065963745,0.0,10.377182006835938
83,5,10.0,1.5,0.800000011920929,12.977988243103027,1.1062065362930298,0.6600499749183655,0.8602544665336609,0.0,20.949424743652344
83,6,10.0,1.5,0.800000011920929,9.411829948425293,1.8111441135406494,0.8642154335975647,0.9093686938285828,0.0,19.205772399902344
83,7,10.0,1.5,0.800000011920929,11.337157249450684,0.8278616666793823,0.5638442635536194,0.9423601031303406,0.0,20.8530330657959
83,8,10.0,1.5,0.800000011920929,12.521220207214355,1.119887351989746,0.5569441318511963,0.9465999603271484,0.0,20.44759750366211
83,9,10.0,1.5,0.800000011920929,13.314738273620605,1.3758502006530762,0.6052918434143066,0.947172999382019,0.0,19.707307815551758
83,10,10.0,1.5,0.800000011920929,13.78320026397705,1.0932246446609497,0.5778382420539856,1.027353286743164,0.0,23.622314453125
94,1,10.0,2.0,1.100000023841858,9.615839004516602,1.4479129314422607,1.0080037117004395,0.5705068707466125,0.0,9.631034851074219
94,2,10.0,2.0,1.100000023841858,11.942265510559082,1.8585947751998901,0.9928558468818665,0.7615445256233215,0.0,15.681743621826172
94,3,10.0,2.0,1.100000023841858,11.407026290893555,2.0184807777404785,0.9701905250549316,0.7660693526268005,0.0,16.91994285583496
94,4,10.0,2.0,1.100000023841858,10.364192962646484,2.259229898452759,1.033057451248169,0.7722567319869995,0.0,15.929731369018555
94,5,10.0,2.0,1.100000023841858,11.01425838470459,2.157151222229004,0.924322247505188,0.8066099286079407,0.0,16.764171600341797
94,6,10.0,2.0,1.100000023841858,12.339287757873535,1.7459043264389038,1.06903076171875,0.9197319149971008,0.0,16.606311798095703
94,7,10.0,2.0,1.100000023841858,12.283062934875488,2.307051181793213,1.1376490592956543,0.9252519607543945,0.0,15.510419845581055
94,8,10.0,2.0,1.100000023841858,10.39493179321289,1.6164146661758423,1.1646645069122314,0.9648464322090149,0.0,18.256431579589844
94,9,10.0,2.0,1.100000023841858,11.712238311767578,1.692812442779541,1.1277519464492798,0.9770228266716003,0.0,18.887435913085938
94,10,10.0,2.0,1.100000023841858,11.433938026428223,1.6388989686965942,0.7052475810050964,0.9886237382888794,0.0,12.2274169921875
123,1,10.0,4.0,0.800000011920929,10.492148399353027,3.668727159500122,0.8062324523925781,0.21731650829315186,0.0,1.2719049453735352
123,2,10.0,4.0,0.800000011920929,9.722317695617676,3.7951269149780273,0.7454113364219666,0.3300841450691223,0.0,0.045266151428222656
123,3,10.0,4.0,0.800000011920929,10.994338035583496,3.91548228263855,0.6138318777084351,0.38165903091430664,0.0,0.4071998596191406
123,4,10.0,4.0,0.800000011920929,10.934818267822266,3.3239216804504395,0.6063318848609924,0.3998284339904785,0.0,0.24291133880615234
123,5,10.0,4.0,0.800000011920929,10.478836059570312,3.4855329990386963,0.5584505200386047,0.42135944962501526,0.0,0.6619729995727539
123,6,10.0,4.0,0.800000011920929,9.275108337402344,3.7020254135131836,0.7619895935058594,0.43187031149864197,0.0,0.3948249816894531
123,7,10.0,4.0,0.800000011920929,11.566240310668945,3.8641669750213623,0.7745708227157593,0.4623408317565918,0.0,1.8731613159179688
123,8,10.0,4.0,0.800000011920929,9.976305961608887,3.791604995727539,0.5593864321708679,0.4925302565097809,0.0,1.4896612167358398
123,9,10.0,4.0,0.800000011920929,9.371603012084961,2.7089850902557373,0.5819469094276428,0.6731563806533813,51.28216552734375,1.6917839050292969
123,10,10.0,4.0,0.800000011920929,11.996320724487305,2.7471108436584473,0.5721867084503174,0.6922305226325989,51.28216552734375,0.17728424072265625
172,1,11.0,3.0,0.8999999761581421,10.454599380493164,2.9926273822784424,0.9422860741615295,0.1575738936662674,0.0,0.17276287078857422
172,2,11.0,3.0,0.8999999761581421,10.811965942382812,2.890523672103882,0.9354607462882996,0.17924444377422333,0.0,0.7203645706176758
172,3,11.0,3.0,0.8999999761581421,11.063532829284668,3.0727486610412598,0.9433806538581848,0.24376201629638672,0.0,0.08922672271728516
172,4,11.0,3.0,0.8999999761581421,10.159158706665039,2.8054277896881104,0.8863348364830017,0.31630757451057434,0.0,0.9134578704833984
172,5,11.0,3.0,0.8999999761581421,11.487858772277832,2.5239803791046143,0.9090200662612915,0.3963475227355957,0.0,2.043654441833496
172,6,11.0,3.0,0.8999999761581421,9.52041244506836,2.5191636085510254,0.9327526688575745,0.45618757605552673,0.0,0.13126373291015625
172,7,11.0,3.0,0.8999999761581421,12.416862487792969,3.082639217376709,0.8280852437019348,0.5303139686584473,0.0,1.0597429275512695
172,8,11.0,3.0,0.8999999761581421,9.203352928161621,2.680116653442383,1.1820764541625977,0.551527202129364,0.0,0.6477136611938477
172,9,11.0,3.0,0.8999999761581421,9.907788276672363,2.93858003616333,1.1860228776931763,0.5543938279151917,0.0,0.5187196731567383
172,10,11.0,3.0,0.8999999761581421,10.115950584411621,2.4890801906585693,1.0527327060699463,0.5655567049980164,51.28192901611328,0.5683755874633789
187,1,11.0,4.0,0.800000011920929,10.597390174865723,3.9055368900299072,0.8090713620185852,0.1101788729429245,0.0,0.19533252716064453
187,2,11.0,4.0,0.800000011920929,11.793676376342773,3.75765061378479,0.8317731618881226,0.3221045136451721,51.28216552734375,0.851099967956543
187,3,11.0,4.0,0.800000011920929,13.237204551696777,3.1271517276763916,0.5896320939064026,0.564781904220581,51.28216552734375,0.028272628784179688
187,4,11.0,4.0,0.800000011920929,10.994338035583496,3.91548228263855,0.6138318777084351,0.5919768214225769,0.0,0.6058034896850586
187,5,11.0,4.0,0.800000011920929,9.722317695617676,3.7951269149780273,0.7454113364219666,0.5961235761642456,0.0,0.9677371978759766
187,6,11.0,4.0,0.800000011920929,9.926952362060547,3.2852742671966553,0.8661684989929199,0.6044449806213379,51.28216552734375,1.1979103088378906
187,7,11.0,4.0,0.800000011920929,14.067230224609375,3.4259305000305176,0.5316530466079712,0.6256029605865479,0.0,1.6716880798339844
187,8,11.0,4.0,0.800000011920929,10.934818267822266,3.3239216804504395,0.6063318848609924,0.6538421511650085,0.0,0.7700920104980469
187,9,11.0,4.0,0.800000011920929,12.416862487792969,3.082639217376709,0.8280852437019348,0.6805999875068665,102.56409454345703,2.329174041748047
187,10,11.0,4.0,0.800000011920929,11.996320724487305,2.7471108436584473,0.5721867084503174,0.6919184923171997,51.28216552734375,0.835719108581543
189,1,11.0,4.0,1.0,11.170792579650879,3.965188503265381,0.9544472694396973,0.14579984545707703,0.0,0.10051918029785156
189,2,11.0,4.0,1.0,10.901100158691406,3.7908058166503906,1.0285961627960205,0.20405903458595276,0.0,0.4736814498901367
189,3,11.0,4.0,1.0,10.916495323181152,3.4977145195007324,1.096527099609375,0.49581336975097656,51.28192901611328,0.16026687622070312
189,4,11.0,4.0,1.0,11.329833030700684,3.4722819328308105,1.0266622304916382,0.5016875267028809,51.28192901611328,0.606104850769043
189,5,11.0,4.0,1.0,10.589725494384766,3.3353967666625977,1.17891526222229,0.6977197527885437,102.56385803222656,1.5318822860717773
189,6,11.0,4.0,1.0,11.063532829284668,3.0727486610412598,0.9433806538581848,0.8348239660263062,51.28192901611328,3.2205448150634766
189,7,11.0,4.0,1.0,10.454599380493164,2.9926273822784424,0.9422860741615295,0.9464426040649414,51.28192901611328,3.1370086669921875
189,8,11.0,4.0,1.0,13.160544395446777,3.8832919597625732,1.027364730834961,1.0093399286270142,102.56385803222656,3.8089818954467773
189,9,11.0,4.0,1.0,10.811965942382812,2.890523672103882,0.9354607462882996,1.0206611156463623,51.28192901611328,4.0301361083984375
189,10,11.0,4.0,1.0,11.793676376342773,3.75765061378479,0.8317731618881226,1.0370168685913086,0.0,0.9302453994750977
210,1,12.0,1.5,0.699999988079071,12.420328140258789,1.2553735971450806,0.5544142723083496,0.33126258850097656,0.0,3.6322765350341797
